t	P	cov	model	vgamma_standard.mean	vgamma_standard.CI95l	vgamma_standard.CI95r	vgamma_standard_ganc.mean	vgamma_standard_ganc.CI95l	vgamma_standard_ganc.CI95r	vgamma_varX.mean	vgamma_varX.CI95l	vgamma_varX.CI95r	vgamma_varX_ganc.mean	vgamma_varX_ganc.CI95l	vgamma_varX_ganc.CI95r	vgamma_ld.mean	vgamma_ld.CI95l	vgamma_ld.CI95r	vgamma_ld_ganc.mean	vgamma_ld_ganc.CI95l	vgamma_ld_ganc.CI95r
10	0.9	pos	HI	 8.624089e-02	 7.751952e-02	 9.457978e-02	 0.073599877	 0.063311202	 0.085979422	 0.13801953	 0.12382920	 0.15202993	 0.117800805	 0.102176213	 0.137832505	0.72099349	0.70953528	0.72933349	NA	NA	NA
11	0.0	neg	CGF	 8.031035e-02	 7.430646e-02	 8.502193e-02	 0.080551789	 0.074564942	 0.086364057	 0.09257088	 0.08489196	 0.09966310	 0.092202409	 0.084170818	 0.098716815	0.06999068	0.06420224	0.07515352	6.938097e-02	6.404065e-02	7.493743e-02
11	0.0	neg	HI	 8.786018e-02	 8.295162e-02	 9.182823e-02	 0.087768411	 0.083483283	 0.091207232	 0.08804860	 0.08375981	 0.09193723	 0.088181734	 0.083754520	 0.092717997	0.08794889	0.08358847	0.09294511	8.793299e-02	8.351759e-02	9.181612e-02
11	0.0	pos	CGF	 8.862217e-02	 8.203899e-02	 9.442278e-02	 0.086490846	 0.079745850	 0.091798578	 0.10221584	 0.09581478	 0.10936539	 0.097669928	 0.088680837	 0.106136130	0.21940146	0.21201303	0.22869678	7.809900e-02	7.336828e-02	8.312652e-02
11	0.0	pos	HI	 9.359014e-02	 8.786969e-02	 9.945133e-02	 0.092976871	 0.086905810	 0.100765407	 0.09446854	 0.08713202	 0.09986717	 0.093267736	 0.087621553	 0.097343055	0.09422864	0.08765494	0.10135496	9.310986e-02	8.799942e-02	9.931762e-02
11	0.9	neg	CGF	 8.669171e-02	 6.875914e-02	 1.043369e-01	 0.091094064	 0.074977820	 0.104948547	 0.15022683	 0.10789023	 0.17814400	 0.160672175	 0.129300887	 0.189734785	NA	NA	NA	NA	NA	NA
11	0.9	neg	HI	 8.614411e-02	 7.545807e-02	 9.447630e-02	 0.086895943	 0.076326990	 0.094715237	 0.13583035	 0.11968793	 0.15227191	 0.136816080	 0.124030313	 0.148722613	0.04661712	0.04593000	0.04742500	4.556800e-02	4.556800e-02	4.556800e-02
11	0.9	pos	CGF	 1.046855e-01	 9.543044e-02	 1.134459e-01	 0.090464120	 0.075503425	 0.100319237	 0.18713161	 0.16978158	 0.20489293	 0.159314123	 0.139805623	 0.177927320	0.79866956	0.79076215	0.80957720	NA	NA	NA
11	0.9	pos	HI	 1.070791e-01	 1.002738e-01	 1.148877e-01	 0.099949441	 0.092668352	 0.107691027	 0.16745478	 0.15692174	 0.17878162	 0.155666280	 0.143545632	 0.169180168	0.69137197	0.68293826	0.69766392	NA	NA	NA
12	0.0	neg	CGF	 8.666514e-02	 8.167669e-02	 8.989920e-02	 0.087465756	 0.082796892	 0.092102785	 0.09770183	 0.09303891	 0.10222291	 0.098324454	 0.093738788	 0.102987220	0.07655755	0.07305425	0.07963310	7.557326e-02	7.213303e-02	7.877385e-02
