t	P	cov	model	h2_standard.mean	h2_standard.CI95l	h2_standard.CI95r	h2_standard_ganc.mean	h2_standard_ganc.CI95l	h2_standard_ganc.CI95r	h2_varX.mean	h2_varX.CI95l	h2_varX.CI95r	h2_varX_ganc.mean	h2_varX_ganc.CI95l	h2_varX_ganc.CI95r	h2_ld.mean	h2_ld.CI95l	h2_ld.CI95r	h2_ld_ganc.mean	h2_ld_ganc.CI95l	h2_ld_ganc.CI95r
 9	0.9	neg	CGF	0.8111983	0.8088379	0.8132383	0.8109033	0.8085596	0.8128968	0.8201555	0.8177143	0.8221924	0.8202884	0.8184042	0.8221991	0.8015363	0.8002489	0.8027178	0.8010272	0.7997765	0.8024514
 9	0.9	neg	HI	0.8099545	0.8079030	0.8124038	0.8101213	0.8079814	0.8123392	0.8185810	0.8167179	0.8202271	0.8186177	0.8165847	0.8204769	0.7997342	0.7970565	0.8019436	0.7990432	0.7965832	0.8015047
 9	0.9	pos	CGF	0.6988922	0.6966709	0.7014910	0.6989880	0.6967056	0.7031524	0.7113299	0.7089254	0.7140661	0.7112977	0.7089308	0.7138759	0.8000927	0.7988076	0.8013892	0.6852246	0.6830548	0.6872641
 9	0.9	pos	HI	0.7064279	0.7038250	0.7091237	0.7059132	0.7033000	0.7079453	0.7176271	0.7150291	0.7197741	0.7176678	0.7147489	0.7202933	0.8008870	0.7996433	0.8021194	0.6931415	0.6906953	0.6953778
10	0.0	neg	CGF	0.8042938	0.8017119	0.8065409	0.8041417	0.8022663	0.8064436	0.8061681	0.8033719	0.8082611	0.8059980	0.8036522	0.8081650	0.8018581	0.8002082	0.8038017	0.8018494	0.8003667	0.8035742
10	0.0	neg	HI	0.8022976	0.7992858	0.8046448	0.8021015	0.7998347	0.8046627	0.8025014	0.8001987	0.8047552	0.8024007	0.8004457	0.8043562	0.8017003	0.7993995	0.8035514	0.8017576	0.7995540	0.8039955
10	0.0	pos	CGF	0.7765499	0.7748442	0.7780335	0.7763517	0.7748954	0.7776650	0.7786461	0.7771662	0.7799490	0.7784478	0.7767433	0.7799287	0.7990415	0.7977803	0.8005129	0.7801175	0.7780751	0.7820604
10	0.0	pos	HI	0.7998222	0.7978524	0.8017199	0.7997232	0.7982631	0.8012470	0.7998223	0.7984561	0.8014575	0.7996603	0.7980918	0.8018163	0.7998978	0.7971437	0.8019562	0.7999286	0.7976548	0.8020895
10	0.9	neg	CGF	0.8097779	0.8072420	0.8120511	0.8095563	0.8070447	0.8116824	0.8188076	0.8161451	0.8211409	0.8183562	0.8160615	0.8210110	0.7995146	0.7983144	0.8007666	0.7991417	0.7978553	0.8001423
10	0.9	neg	HI	0.8069103	0.8056297	0.8082357	0.8069594	0.8057822	0.8082402	0.8151013	0.8136966	0.8160563	0.8152335	0.8140202	0.8165827	0.7993013	0.7984801	0.8003467	0.7989711	0.7978616	0.7999288
10	0.9	pos	CGF	0.6960577	0.6948561	0.6975284	0.6958243	0.6943766	0.6970961	0.7086261	0.7075563	0.7099503	0.7085334	0.7074724	0.7096307	0.7988653	0.7970248	0.8002444	0.6828551	0.6806785	0.6844421
10	0.9	pos	HI	0.7096853	0.7064793	0.7129244	0.7095015	0.7066796	0.7123522	0.7204894	0.7178910	0.7240560	0.7200449	0.7169897	0.7234510	0.7993149	0.7978359	0.8008762	0.6963088	0.6938921	0.6987974
11	0.0	neg	CGF	0.8017718	0.7997477	0.8036338	0.8015388	0.7995260	0.8034980	0.8037328	0.8016302	0.8057583	0.8036727	0.8017298	0.8056433	0.7994317	0.7982292	0.8008473	0.7993948	0.7983053	0.8005290
11	0.0	neg	HI	0.8047058	0.8036635	0.8058744	0.8045991	0.8035966	0.8058672	0.8046663	0.8035485	0.8059551	0.8045788	0.8033639	0.8056216	0.8021972	0.8010259	0.8033041	0.8021520	0.8008810	0.8036177
11	0.0	pos	CGF	0.7803539	0.7787134	0.7819775	0.7799588	0.7779511	0.7819288	0.7823143	0.7804305	0.7838860	0.7821562	0.7804707	0.7838230	0.8004207	0.7991459	0.8016736	0.7840511	0.7822563	0.7853268
11	0.0	pos	HI	0.7987762	0.7973038	0.8001907	0.7988045	0.7971680	0.8004744	0.7988059	0.7973551	0.8002498	0.7989319	0.7972448	0.8005026	0.7991476	0.7978688	0.8008571	0.7991972	0.7977594	0.8008612
11	0.9	neg	CGF	0.8103580	0.8089914	0.8116811	0.8103486	0.8092206	0.8116864	0.8192865	0.8181338	0.8202435	0.8194652	0.8183862	0.8207652	0.8000265	0.7990555	0.8011266	0.7994262	0.7984981	0.8004934
11	0.9	neg	HI	0.8103024	0.8083600	0.8123687	0.8104774	0.8088807	0.8120891	0.8178879	0.8158882	0.8199237	0.8181373	0.8161357	0.8202296	0.8017278	0.8004853	0.8030651	0.8014849	0.8003991	0.8029358
11	0.9	pos	CGF	0.7016447	0.6990377	0.7038889	0.7020581	0.6998296	0.7048899	0.7142062	0.7108765	0.7172231	0.7141967	0.7116796	0.7167020	0.8010457	0.7998768	0.8022931	0.6859790	0.6827868	0.6889925
